Lon,Lat,Depth,temperature_0_1,temperature_1_1,temperature_2_1,temperature_3_1,temperature_4_1,temperature_5_1,temperature_6_1,temperature_7_1,temperature_8_1,temperature_9_1,temperature_10_1,temperature_11_1
119.95,16.37,0.5,26.14048957824707,25.979890823364258,26.820600509643555,28.492799758911133,29.66168975830078,29.675090789794922,29.472900390625,28.847410202026367,29.086999893188477,29.06439971923828,28.118610382080078,27.19300079345703
120.36,16.127,1.0,,,,,,,,,,,,
120.36,16.127,5.0,,,,,,,,,,,,
120.2,16.147000000000002,1.0,,,,,,,,,,,,
120.2,16.147000000000002,8.0,,,,,,,,,,,,
120.2,16.147000000000002,25.0,,,,,,,,,,,,
120.33,16.217,1.0,,,,,,,,,,,,
120.33,16.217,5.0,,,,,,,,,,,,
120.14,16.230999999999998,1.0,,,,,,,,,,,,
120.14,16.230999999999998,8.0,,,,,,,,,,,,
120.14,16.230999999999998,30.0,,,,,,,,,,,,
120.24,16.258,1.0,,,,,,,,,,,,
120.24,16.258,8.0,,,,,,,,,,,,
120.24,16.258,30.0,,,,,,,,,,,,
120.33,16.269000000000002,1.0,,,,,,,,,,,,
120.33,16.269000000000002,5.0,,,,,,,,,,,,
120.0,16.413,1.0,26.14048957824707,25.979890823364258,26.820600509643555,28.492799758911133,29.66168975830078,29.675090789794922,29.472900390625,28.847410202026367,29.086999893188477,29.06439971923828,28.118610382080078,27.19300079345703
120.0,16.413,10.0,26.079809188842773,25.838991165161133,26.590608596801758,28.18218994140625,29.50490951538086,29.603891372680664,29.249990463256836,28.74049949645996,28.988208770751953,28.9683895111084,28.075090408325195,27.148700714111328
120.13,16.500999999999998,1.0,,,,,,,,,,,,
120.13,16.500999999999998,10.0,,,,,,,,,,,,
120.13,16.500999999999998,30.0,,,,,,,,,,,,
