Lon,Lat,Depth,Month,temperature1
119.95,16.37,0.5,0,26.14048957824707
120.36,16.127,1.0,1,
120.36,16.127,5.0,10,
120.2,16.147000000000002,1.0,11,
120.2,16.147000000000002,8.0,9,
120.2,16.147000000000002,25.0,0,
120.33,16.217,1.0,1,
120.33,16.217,5.0,0,
120.14,16.230999999999998,1.0,1,
120.14,16.230999999999998,8.0,10,
120.14,16.230999999999998,30.0,11,
120.24,16.258,1.0,0,
120.24,16.258,8.0,3,
120.24,16.258,30.0,5,
120.33,16.269000000000002,1.0,0,
120.33,16.269000000000002,5.0,1,
120.0,16.413,1.0,10,29.06439971923828
120.0,16.413,10.0,11,28.075090408325195
120.13,16.500999999999998,1.0,7,
120.13,16.500999999999998,10.0,9,
120.13,16.500999999999998,30.0,8,
